Groups,Class_Values
1,[66 66]
2,"[55 49 54 62 50 45 48 48 48 40 48 53 48 54 48 51 48 51 50 56 48 48 46 52
 40 55 50 50 53 52 48 51 48 54 31 48 51 48 50]"
3,[33 35 42 32 31 37 45 35 45 37 32 39]
4,"[60 48 45 60 60 60 45 60 84 48 47 60 46 47 48 73 60 45 72 60 47 60 60 65
 46 81 46 60 45 47 45 45 79 46 64 56]"
5,[32 44 43 54 43 60 33]
6,[65 60 62 61 60 61 60 70 65 61 65 60 61 62 60 60 63 61 65 60 60 64]
7,[27 27 26]
8,[43 41 32]
9,[13 21 27 21 28]
10,[63 66 63 63 64 63 65 64 68 63 63 63 63 63 65 63 69 63 63 66 63 70]
11,"[41 32 32 39 69 31 43 37 31 67 36 39 64 34 35 31 68 41 37 33 69 31 48 32
 35 31 31 31 50 32 38 44 67 38 67 66 35 40 64 42 31 31 47 44 43 63 68]"
12,[43 46 45]
13,[6 9 5 5 6 12 6]
14,[34 41 35 44 33 34 34 34 33 38 37 44 33 45 45 33 32 32]
15,[45 45 75 46 45 76 78 65 72]
16,[41 52 32 61]
17,[49 44 44 33]
18,[5 26 29 14 8 25 18 17 9 15 31 21 14 28 27 21]
19,[56 55 58 65 56 57 57 55 59 52 62 65 55 57 59 56 55]
20,[16 22 22 16 22 20 11 12 27 20 20 2 27 1 20]
21,[3 13 20 8 23 5 15 17 5 15 13 17 18 6 16 15 2 5 13 15 14 12 7 3 20 5 1 15 5 11 5 16 9 4 14 10 10 11 4 10 19]
22,[27 41 31 34 33 43 32 33 46 34 33 34 28 29 30]
23,"[66 55 55 63 55 54 55 54 55 54 57 54 54 68 56 60 55 54 55 58 56 54 56 57
 64 57 61 62]"
24,[33]
25,[45 51 46 48 70 48 45 79 47 60 45 48]
26,[65]
27,"[44 41 51 44 47 43 49 41 44 44 47 50 43 52 47 44 48 34 48 41 44 44 44 49
 51 44 50 48 44 42 43 42]"
28,[64 63 64 63 66 65 65 64 65 67 63]
29,[71 31]
30,[73 73 50 45 45 45 45 48 45 77]
31,[10 7 9 14 15 6 6 13 5 5 7 16 11 11 12 9 22 19]
32,[77 73 72 72 68 73 72 72 73 73 72 72 74]
33,[71 31]
34,[46]
35,"[52 37 36 63 45 52 41 52 52 41 47 57 39 35 44 39 52 51 52 52 52 36 52 52
 52 60 52 38]"
36,[71]
37,[7 6 27 22 25 6 12 27 45 5 8 20 30 28 43]
38,[64 65 64 71 64 65 66 65 64 72 69 67]
39,"[47 47 71 47 45 48 45 47 47 54 47 47 60 60 81 60 45 47 52 80 59 45 45 47
 47 45 45 46 46 47 45 45 46 45 45 45 47 58 48 45 47 45 76 45 45 45 47 47
 67 47 60]"
40,[52 50 50 48 50 53 51 48 50 51 50 56 50 50 51 52 65 50 57]
41,"[47 45 46 63 46 48 80 45 45 45 47 46 79 55 45 45 46 60 47 84 46 48 46 46
 45 45 45 45 46 46 46 46 48 60 46 45 46 45 47 46 46 81 61 45 66]"
42,[61]
43,[69]
44,[40 32 48 47 36 45 42 33 40 44 46 36 32]
45,[35 40 35 54 52 52 52 50 40 52 52 53 37 46 38 41 52 42 47 52 48 52 52 39]
46,"[47 47 45 48 48 68 45 57 46 45 45 46 45 49 46 45 46 45 47 48 45 84 45 48
 48 48 46 45 47 75 48 48 46 62 45 47 45 48 45 45 48 46 48 74 46 45 48 53
 45 46 82 46 83 60 48 45 45 46 69 78 71]"
47,[33]
48,[28]
