Groups,Class_Values
DE-OM1-2,"[2, 4, 3, 4, 1, 1, 2, 2, 3, 4]"
DE-OM1-3,"[14, 7, 11, 12, 11, 5, 6, 13, 6, 13, 5, 6, 8, 12, 11, 5, 9, 5, 5, 8, 10, 5, 5, 5, 6, 7, 13, 9, 12, 7, 8, 10, 9, 14, 6, 10]"
DE-OM1-4,"[16, 16, 15, 15, 16, 15, 17, 19, 17, 15, 15, 15, 16, 18, 17]"
DE-OM1-5,"[22, 21, 23, 20, 21, 22, 20, 20, 22, 22, 22, 20, 21, 20, 21, 21, 20, 20, 20, 20, 20]"
DE-OM1-6,"[27, 28, 27, 27, 26, 27, 25, 28, 27, 27, 27, 28]"
DE-OM2-1,"[8, 14, 6, 6, 7, 15, 7, 12, 17, 11, 21, 6, 16, 5, 22, 6, 15, 9, 13, 7, 13, 11, 12, 16, 5, 5, 20, 10, 12, 8, 19, 11, 13, 5, 10, 14, 5, 7, 6, 5, 18, 11, 14, 16, 15, 9, 9, 10, 8, 14]"
DE-OM2-2,"[31, 29, 32, 26, 30, 27, 28, 31, 25, 33, 30, 30]"
DE-OM2-3,"[34, 33, 33, 33, 34, 33, 33, 34]"
DE-OM2-5,"[44, 32, 34, 35, 32, 33, 35, 44, 35, 42, 32, 39, 34, 40, 37, 34, 41, 36, 42, 33, 34, 37, 37, 32, 38, 40, 34, 38, 32, 44, 41, 32, 32, 36, 33, 36, 43, 44, 35, 33, 32]"
DE-OM2-6,"[45, 48, 45, 45, 45, 45, 46, 46, 45, 45, 45, 48, 45, 47, 45]"
DE-OM3-1,"[41, 41, 41, 41, 41, 41, 43, 42, 41]"
DE-OM3-3,"[52, 43, 43, 44, 43, 44, 48, 43, 44, 48, 44, 44, 48, 43, 44, 44, 46, 42, 47, 45, 47, 44, 44, 48, 47, 49, 42, 50, 51, 46, 49, 44, 44, 43, 44, 44, 51, 48, 44, 50, 43]"
GE-OM1-2,"[33, 32, 33, 34, 31, 33, 32, 33, 27, 33, 34, 31, 31, 33, 34, 30, 32, 28, 29, 33, 31, 33, 32, 34]"
GE-OM1-3,"[39, 42, 52, 52, 44, 41, 38, 42, 46, 52, 41, 52, 39, 48, 50, 47, 38, 52, 52, 52, 52, 52, 51, 52, 52, 45, 52, 52, 37, 49, 35, 38, 40, 52, 43, 52, 52, 45, 47, 43, 52, 52, 52, 44, 52, 36, 46, 51, 41, 52, 53, 52, 52, 52, 40, 52, 52, 52, 52, 53, 36, 36, 37, 50, 35, 52, 37, 51, 54, 52, 54, 48, 49, 35, 39, 52, 40, 52]"
GE-OM1-4,"[57, 54, 55, 56, 56, 57, 56, 56, 59, 55, 61, 56, 55, 57, 54, 54, 55, 54, 58, 54, 54, 58, 54, 55, 56, 55, 55, 57, 57, 54, 57, 54, 65, 56, 54, 54, 55, 54, 63, 58, 55, 54, 55, 56, 58, 64, 57, 55, 54, 55, 56, 55, 56, 59, 54, 62, 58, 54, 56, 60, 60]"
GE-OM1-5,"[60, 61, 61]"
GE-OM1-6,"[66, 62, 62, 67, 64, 62, 63, 65, 68, 66, 63, 62, 67, 64, 62, 65]"
GE-OM1-7,"[67, 69, 68, 69, 69, 68, 69]"
GE-OM3-1,"[31, 31, 31, 31, 31, 31, 31]"
GE-OM3-4,"[42, 32, 37, 38, 37, 44, 46, 37, 45, 35, 43, 34, 31, 32, 32, 31, 40, 31, 34, 38, 43, 31, 31, 36, 42, 39, 32, 32, 31, 31, 32, 35, 33, 40, 41, 41, 43, 33, 44, 35, 47, 33, 40, 31, 44, 36, 39, 32, 31, 42, 33, 41, 34, 36, 38, 48, 31, 39]"
GE-OM3-5,"[51, 51, 55, 48, 50, 48, 48, 48, 48, 48, 51, 50, 48, 48, 48, 54, 50, 48, 56, 48, 49, 50, 48, 53, 48, 48, 48, 51, 48, 52, 48]"
GE-OM3-6,"[50, 52, 50, 50, 52, 53, 50, 50, 51, 50, 52, 50, 50, 54, 50, 50, 51, 56, 51, 51, 50, 55, 50, 50, 53, 50, 57, 50, 54, 51, 54, 53, 50]"
GE-OM3-7,"[60, 61, 60, 61, 60, 60, 64, 62, 60, 60, 61, 61, 63, 60, 62, 60, 61, 60, 61, 62]"
GE-OM3-8,"[66, 65, 66, 65, 65, 65, 66, 65, 65, 65, 65, 65, 65, 66, 66]"
