index,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,F72,F73,F74,F75,F76,F77,F78,F79,F80,F81,F82,F83,F84,F85,F86,F87,F88,F89,F90,F91,F92,F93,F94,F95,F96,F97,F98,F99,target
29,0.334973456,0.484245036,0.343689112,0.56562163,0.900431817,0.583856157,0.480000378,0.324264546,0.470532607,0.73342885,0.924862838,0.750674422,0.640508062,0.478494063,0.26917616,1.424386844,0.432413389,0.678474118,0.524069014,0.450914215,1,0.382239547,0.601517992,1.288317821,1.730024317,0.360023318,2.609461792,0.332842056,0.489859576,0.644034712,2.492996801,0.33288098,0.496117045,0.643602356,1.619481964,0.502677106,0.188945579,1.72631566,2.162533645,0.176289747,0.507238658,0.628862648,0.479936756,1.437814891,0.785918993,0.376346944,0.537438166,2.651564475,0.548012837,1.436933257,1.382703157,0.566302431,0.523019164,1.638277569,0.331375106,0.719427742,0.195300064,0.291177255,1.348424078,0.891110384,0.688182056,0.236932755,0.436217472,0.346732798,0,0.738040769,0.316332732,0.572923049,0.311341602,1.446624383,0.271776505,0.712098523,0.518378437,2,0.675924276,0.73923195,2.63787359,0.381192132,0.600035896,0.730029525,1.585341353,0.450353014,0.681869034,1.567246308,0.918935242,0.599593689,0.201556579,0.717669268,0.724377148,0.662701984,0.653738173,0.316148671,1.177165089,0.052136096,0.788860418,0.658416467,0.358326225,0.440661667,0.313804368,0.246738743,64
58,0.596053307,0.354180153,0.654747977,0.477047485,0.426142514,0.611786122,0.573939232,0.20868158,0.884761917,0.552098851,0.80907114,0.835103835,0.413002494,0.487483035,0.312755387,1.349329253,0.494620483,0.535731005,0.016241884,0.338860617,0.449172058,0.920063509,0.465025175,1.520591204,1.195220912,0.444831139,2.576307786,0.598494645,0.560695274,0.734526652,2.290283241,0.6495881,0.501740679,0.14935889,0.576496594,0.556814452,0.34474504,0.568744821,1.793412156,0.698486625,0.956539405,0.470406751,0.225093687,1.341106476,0.151101736,0.368985541,0.448715957,1.51514554,0.331073095,1.367847054,0.716784893,0.309767293,0.632497732,1.566620061,0.921103088,0.495881641,0.726345242,0.81443421,0.606971613,0.626448077,0.257023991,0.407765097,0.533383347,0.390024402,0.697788741,0.323999719,0.734318645,0.541152004,0.310651324,0.042672717,0.623089518,0.275211219,0.553272899,0.273161651,0.255750705,0.453894329,1.600347625,0.903295508,0.418915708,0.145825692,0.683263916,0.437057427,0.499111427,1.603541431,0.756482488,0.753365411,0.570397503,0.565462576,0.894866991,0.728782418,0.37056894,0.526567097,0.830129832,0.501361074,0.54619361,0.84422737,0.370217369,0.780346798,0.160161284,0.660982544,52
10,0.567900436,0.647388891,0.907962493,0.381795133,0,0.177850083,0.150031571,0.587934436,0.823492597,0.226555447,0.561773605,0.683242152,1,1,1,1.651420083,0.645216152,0.924651233,0.20406768,0.199088251,0.083368026,0.537409819,0.025858497,1.043201129,2,0.7746201,2.596794932,0.186674663,0.400003377,0.574039778,2.991664191,0.665800837,0.906520246,0.700033036,1.146386776,0.941064236,0.005827571,1.47689135,1.760680234,0.426916697,0.562627822,0.58644224,0.620361203,1.593276969,0,0.22187611,0.498317636,2.550339748,0.517245791,1.768429293,1.118699157,0.529494876,0.639409891,1.311157493,0.930791309,0.26094421,0.484542231,0.976948989,1.388314567,0.813330748,0.095920467,0.738028936,0.280942272,0.777097989,0.523590825,0.686781215,0.441926539,0.28623156,0,1.026119866,0.721483779,0.13225576,0.008410882,1.709647031,0.557623743,0.545196622,3,0.68226986,0.750511735,0.536726945,1.479600721,1,0,1.606088955,0.812933911,0,0.200103482,0.33154901,0.601888263,0.731003379,0.788077992,1,1.461985958,0.71456044,1,1,0.758249605,0.749832786,0.55459189,0.356716874,65
32,0.605188509,0.604559109,0.41585572,0.70804622,0.440962689,0.264282796,0.388631567,0.173936926,0.675723766,0.290503497,0.625053357,0.822810706,0.233298963,0.460997991,0.595332832,0.119416722,0.271114342,0.835782038,0.541935104,0.30724617,0.537495059,0.333498623,0.300902097,0.486094501,1.24049555,0.435869747,0.97079631,0.793634051,0.394293276,0.817753238,0.208546287,0.571562732,0.50996027,0.577627331,0.821280222,0.575615101,0.20402044,0.598169857,1.305527614,0.742517339,0.616506733,0.679413363,0.879810102,0.186687435,0.669766989,0.763408021,0.924668046,1.544400604,0.664815545,0.556167461,0.601772455,0.825934904,0.369691156,1.283190195,0.539604255,0.688233061,0.454857911,0.391485069,0.650737041,0.449094268,0.272500607,0.674379242,0.14577105,1,0.752075245,0.610392636,0.608860681,0.341954098,0.419755307,0.648487063,0.427723102,0.07283494,0.198679341,0.558169172,0.60135537,0.534628939,1.507073588,0.662014865,0.584121192,0.584058379,0.705978655,0.933652692,0.452919318,1.467984515,0,0.527466392,0.763149173,0.49442053,0.494684766,0.639400824,0.04897857,0.250611369,0.310897793,0.461687879,0.643071339,0.825027923,0.445460635,0.810137315,0.814087885,0.273216054,13
12,0.184681986,0.633962846,0.404391068,0.382855567,0.421780738,0.402548596,0.643962011,0.370331272,0.393537039,0.527568762,0.293641616,0.659129178,0.027903803,0.018797535,0.328523544,0.915995267,0.921459751,1,0.249209494,0.660543076,1,0.678445966,0.9250753,0.69365745,0.719415889,0,0.516097954,0.783731105,0.157123872,0.400522298,0.482925248,0.269225907,0,0.269102039,0.624508563,0.696901412,0.556413838,0.478489458,1.845379034,1,0.086697263,0.615062445,0.189566614,0.282306473,0.103122129,0.430599983,1,1.34927338,0.681413789,0.296750936,0.319532975,0.592682587,0.522314933,0.471907388,0.7132981,0.437612287,0.485988589,0,0.718690932,0.257015898,0.336581243,0.693426838,0.969220929,0.926384764,0.731618997,0.608649245,0.628178889,0.734306021,0.270781436,0.999128451,0.563238258,0.791186588,0.747231834,0.616889179,0.385750432,0.692923765,1,0.12179679,0.163704473,0,1,0.487492132,0.723478416,1.629107414,0.58332449,0.389302333,0.569715414,0.702683953,0.619178815,0.276275072,0.355931314,0.355596045,0.722782535,0.575382711,0.57311461,0.55286726,0.348551976,0.348628175,0.160154535,0.548788325,16
68,1.655602489,0.640718691,0.23136278,0.51857061,0.389785123,0.638366615,0.51862933,0.601104474,0.878517347,0.536783052,0.431168699,1.471129588,0.387217543,0.352095875,0.410848553,1.292008394,0.477467249,0.459994561,0.44396705,0.731784873,0.686207466,0.230241097,0.584327543,1.525009776,1.295445681,0.511527814,2.629743203,0.386361461,0.550712762,0.893754773,2.479107094,0.833607068,0.675043121,0.505809265,1.466915287,0.377607299,0.257766002,1.321564103,2.281533786,0.393260056,0.589885785,0.516226813,0.637586261,1.666596218,0.62819768,0.689349981,0.361125713,2.426934865,0.549791855,1.767478555,1.354634952,0.403960813,0.593329236,1.459048314,0.335795128,0.101275238,0.366479435,0.456516451,1.48567026,0.381371313,0.300412723,0.745808105,0.657129013,0.648393028,0.485193128,0.515799574,0.556151877,1.218864942,0.486223597,1.347458576,0.544098248,0.298936146,0.474822969,1.354492874,0.786479088,1.586222483,2.232977118,0.878760758,0.537071778,0.285927769,1.418367031,0.40180893,0.497827279,1.519210252,0.866942579,0.631960865,0.595327396,0.541489794,0.404736461,0.524184029,0.561414285,0.36157332,1.64099571,0.732906179,0.585361726,0.246060531,0.485474915,0.452415128,0.499606193,0.45010333,60
9,0.797752925,0.402224115,1,0.479993776,0.609721534,0.352760583,0.036132731,0.501080406,0.355862334,0.928844392,0.259586031,0.968430397,0.802736587,0.659947803,0.930564737,1.539050401,0,0.953836322,0.468327651,0.27723142,0.356280229,1,0.954401007,1.885432736,1.318832565,0.352260097,2.38788704,0.201942779,0.319004463,0.815434802,3,1,0.826926051,0.067219858,0.784969731,0.25117652,0.502937019,0.901216452,1.307410541,1,0.818159476,0.563499582,0.718470123,1.22232544,0.155629561,0.517727723,0.566679232,1.851417228,0.131501595,1.688033371,0.548222746,1,0.16570735,1.56710072,0,0.503922793,0.374559123,0.7733453,1.175512243,0.457078502,0,0.429972892,0.95539055,0.15580396,0.561316819,0.887735477,0.43337203,0.19714594,1,1.736193573,0.446531815,0.393290871,0.131023434,0.50126593,0.152753808,0.978753415,1.070426644,1,0.61866013,0.49391356,0,0.784448224,0.161090311,2,0.198648849,0,0.295889187,0.664948343,0.194046879,0.217002663,0.199162573,0.649207215,1.552812762,0.909176125,0,0.077227846,0.501938234,0.615667717,0.853174714,0.682955249,66
7,0.190986454,0.876495059,0.871335306,0.558774225,0.91997873,0.35032499,0.807027274,0.121807043,0.362403416,1,0.714527286,0,0,0,0.71154606,1.949534924,0.47533182,0.576171671,0,1,0.592325218,1,0.628811117,0.124184987,1.818160872,0.723757296,0.681990613,0.543722703,0.008138007,1,0,0.411353088,0.569569565,1,0.568706973,0.260903848,0.102058382,0,1,0.356833843,0.852162518,0.96169784,1,1,0.192486474,0,0.523222909,1.823080065,0.183034066,1.75247059,1,0.390170829,0.427774223,1,1,0.669036736,0,0.547030604,0.608198309,0,0.343643716,0.41048145,0.396651551,0,0.824008677,0.741875074,0.074314842,0,0.463669984,1,1,0.377535328,0.323204831,0.420648436,0.013439299,0.237627554,1,0,0,0.733173012,0.403678842,0,0.99845501,1.302959817,0.523316312,0.674709843,0,0.794933171,0.552547927,0.906435876,0.269279107,0.229414577,0.647107171,0.792715292,0.903292343,0.233888879,1,0.308119808,0.525032774,1,34
39,1,0.318988531,0.282730619,0.413693946,0.263136296,1,0.061369658,0.575067001,0.551835135,0.526427289,0.070949343,0.194701476,0.526731541,0.170791135,0.825702794,1,0,0.308367149,0.648157626,0.241820913,0.400177242,0.668712758,0.96878051,0.194690899,1.441507528,0.382329088,0.88951519,0.866570162,0.515653977,0.076444632,0.802338977,0.370852225,0.403392602,0.44133796,0.522838995,0.202449568,0.368909885,0.290599915,1.660323463,0.715646987,0.694421079,0.660823013,0.108126136,0.847786775,0.340578427,0.6295905,0.509437682,1.635651692,1,0.538258625,0.589218885,0.513094868,0.481173733,1.255562627,0.832005998,0.378545568,0.341611949,0.240896312,0.407133632,0.406260607,0.391836105,0.555208935,0.597694613,0.393325545,0.546089302,0.522839017,0.141611676,0.53825329,0.64846551,0.650495075,0.77375351,0.247925522,0,0.626398219,0.486555264,0.308832909,1.648453729,0.557377195,0.516745273,0.37890492,1,0.423494901,0.334817414,1.191919471,0.31268863,0.20691669,0.32925727,0.38532539,0.240293471,0.807471457,0.957182053,0.917298552,0.12738311,0.396638718,0.424292284,0.654491979,0.488834937,0.199025236,0.47288231,0.459063432,5
17,0.239055983,0.649273126,0.08792165,0.640675738,0,0.597424996,0.619624215,0.408911605,0.398431105,0,0.883090806,0.240895665,0.506973588,0.840663343,0,1.271425937,0.213617271,0.382164844,0.624122635,0.54352902,0.154567673,0.774598434,0.206083138,1.18690076,1.390057992,0.179163971,3,0.124774971,0.19322665,0.796265305,2.449293778,0.477653927,0.258542567,0,0.558222576,0.830103795,0.135710656,1.74059022,1.079783236,0.465158808,0.374495876,0.771736639,0.020430866,1.602147936,0.64342556,0.566650034,0.506225758,2.429032614,0.902339339,1.49100105,1.289591242,0.308258042,0.501732826,1.443365249,0.852355618,0.308754382,0.285096008,0.64566827,1.514494189,0.568938931,0.408624142,0,0.873212919,0.160459542,0,0.756421014,0.511574356,0.017651764,0.451528687,1.399406944,1,0,0.107629186,1.362981246,0.232164295,1,2.73375252,0.501554876,0.793799383,0.488715902,1.677964902,0.21557259,0.599708014,1.85892687,0.684630124,0.410062256,0.666299713,0.404286566,0.553757464,0.414210817,0.660625517,0.798920947,1,0.305968223,0.076269356,0.37678064,0,0.314155279,0.650113108,0.192862763,60
